,price,stock,position,allocation
AGCO,65.36000061035156,-0.0,-0.0,-0.0
AGD,9.100000381469727,-0.0,-0.0,-0.0
AGEN,2.9600000381469727,-0.0,-0.0,-0.0
AGM,70.4000015258789,-0.0,-0.0,-0.0
AGN,138.0399932861328,-0.0,-0.0,-0.0
AGO,41.869998931884766,-0.0,-0.0,-0.0
AGX,47.7599983215332,-0.0,-0.0,-0.0
AGYS,22.329999923706055,-0.0,-0.0,-0.0
AHPI,1.659999966621399,239.0,396.73999202251434,0.003967400707048925
AHT,4.940000057220459,-0.0,-0.0,-0.0
AI,7.050000190734863,-0.0,-0.0,-0.0
AIG,52.20000076293945,-0.0,-0.0,-0.0
AIMC,32.599998474121094,-0.0,-0.0,-0.0
AIN,73.5199966430664,-0.0,-0.0,-0.0
AINV,16.0,-0.0,-0.0,-0.0
AIR,30.139999389648438,-0.0,-0.0,-0.0
AIRI,1.0700000524520874,-0.0,-0.0,-0.0
AIT,54.75,-0.0,-0.0,-0.0
AIV,50.9900016784668,-0.0,-0.0,-0.0
AIZ,100.20999908447266,-0.0,-0.0,-0.0
AJG,84.1500015258789,-0.0,-0.0,-0.0
AJRD,36.959999084472656,-0.0,-0.0,-0.0
AKAM,77.76000213623047,-0.0,-0.0,-0.0
AKR,28.459999084472656,-0.0,-0.0,-0.0
AKRX,4.269999980926514,-0.0,-0.0,-0.0
AKS,2.140000104904175,-0.0,-0.0,-0.0
ALB,66.33999633789062,-0.0,-0.0,-0.0
ALCO,25.739999771118164,-0.0,-0.0,-0.0
ALE,82.69000244140625,-0.0,-0.0,-0.0
ALG,94.26000213623047,-0.0,-0.0,-0.0
ALGN,307.8500061035156,-0.0,-0.0,-0.0
ALGT,142.7100067138672,-0.0,-0.0,-0.0
ALJJ,1.5399999618530273,-0.0,-0.0,-0.0
ALK,61.36000061035156,-0.0,-0.0,-0.0
ALKS,24.030000686645508,-0.0,-0.0,-0.0
ALL,95.9800033569336,-0.0,-0.0,-0.0
ALLT,7.159999847412109,-0.0,-0.0,-0.0
ALNY,67.91000366210938,-0.0,-0.0,-0.0
ALOT,26.100000381469727,-0.0,-0.0,-0.0
ALSK,1.7200000286102295,-0.0,-0.0,-0.0
ALT,2.430000066757202,-0.0,-0.0,-0.0
ALV,64.48999786376953,-0.0,-0.0,-0.0
ALXN,125.33000183105469,-0.0,-0.0,-0.0
AMAG,10.039999961853027,-0.0,-0.0,-0.0
AMAT,39.939998626708984,-0.0,-0.0,-0.0
AMD,26.360000610351562,-0.0,-0.0,-0.0
AME,84.87000274658203,-0.0,-0.0,-0.0
AMED,108.08000183105469,-0.0,-0.0,-0.0
AMG,88.2300033569336,-0.0,-0.0,-0.0
AMGN,172.11000061035156,-0.0,-0.0,-0.0
AMKR,6.630000114440918,-0.0,-0.0,-0.0
AMN,49.61000061035156,-0.0,-0.0,-0.0
AMNB,35.380001068115234,-0.0,-0.0,-0.0
AMOT,36.189998626708984,-0.0,-0.0,-0.0
AMOV,14.270000457763672,-0.0,-0.0,-0.0
AMP,144.36000061035156,-0.0,-0.0,-0.0
AMRN,17.280000686645508,-0.0,-0.0,-0.0
AMS,2.9000000953674316,-0.0,-0.0,-0.0
AMSC,10.4399995803833,-0.0,-0.0,-0.0
AMSF,60.13999938964844,-0.0,-0.0,-0.0
AMSWA,13.130000114440918,-0.0,-0.0,-0.0
AMT,202.9199981689453,-0.0,-0.0,-0.0
AMTD,51.279998779296875,-0.0,-0.0,-0.0
AMWD,84.12999725341797,-0.0,-0.0,-0.0
AMX,14.199999809265137,-0.0,-0.0,-0.0
AMZN,1815.47998046875,-0.0,-0.0,-0.0
AN,39.09000015258789,-0.0,-0.0,-0.0
ANAT,114.62000274658203,-0.0,-0.0,-0.0
ANDE,27.25,-0.0,-0.0,-0.0
ANF,24.329999923706055,-0.0,-0.0,-0.0
ANGO,19.149999618530273,-0.0,-0.0,-0.0
ANH,3.9700000286102295,-0.0,-0.0,-0.0
ANIK,37.279998779296875,-0.0,-0.0,-0.0
ANIP,68.43000030517578,-0.0,-0.0,-0.0
ANSS,180.11000061035156,-0.0,-0.0,-0.0
ANTM,277.7200012207031,-0.0,-0.0,-0.0
AOBC,9.170000076293945,-0.0,-0.0,-0.0
AON,178.25,-0.0,-0.0,-0.0
AOS,43.689998626708984,-0.0,-0.0,-0.0
AP,4.369999885559082,-0.0,-0.0,-0.0
APA,27.65999984741211,-0.0,-0.0,-0.0
APC,72.29000091552734,-0.0,-0.0,-0.0
APD,204.2100067138672,-0.0,-0.0,-0.0
APDN,0.5199999809265137,-0.0,-0.0,-0.0
APH,89.48999786376953,-0.0,-0.0,-0.0
APOG,38.810001373291016,-0.0,-0.0,-0.0
APPS,3.940000057220459,-0.0,-0.0,-0.0
APU,34.150001525878906,-0.0,-0.0,-0.0
ARC,2.1500000953674316,-0.0,-0.0,-0.0
ARCB,26.56999969482422,-0.0,-0.0,-0.0
ARCC,17.93000030517578,-0.0,-0.0,-0.0
ARCI,5.139999866485596,-0.0,-0.0,-0.0
ARE,144.0500030517578,-0.0,-0.0,-0.0
ARL,11.899999618530273,16.0,190.39999389648438,0.0019040003165704449
ARLP,17.549999237060547,-0.0,-0.0,-0.0
ARMP,3.180000066757202,-0.0,-0.0,-0.0
ARNA,53.20000076293945,-0.0,-0.0,-0.0
ARNC,22.209999084472656,-0.0,-0.0,-0.0
AROW,33.119998931884766,-0.0,-0.0,-0.0
ARQL,7.340000152587891,-0.0,-0.0,-0.0
ARRY,26.399999618530273,-0.0,-0.0,-0.0
ARTNA,36.84000015258789,-0.0,-0.0,-0.0
ARTW,2.049999952316284,-0.0,-0.0,-0.0
ARTX,2.2200000286102295,-0.0,-0.0,-0.0
ARW,64.95999908447266,-0.0,-0.0,-0.0
ARWR,21.969999313354492,-0.0,-0.0,-0.0
ASA,9.4399995803833,-0.0,-0.0,-0.0
ASB,20.760000228881836,-0.0,-0.0,-0.0
ASFI,6.929999828338623,-0.0,-0.0,-0.0
ASG,5.489999771118164,-0.0,-0.0,-0.0
ASGN,54.400001525878906,-0.0,-0.0,-0.0
ASH,72.16999816894531,-0.0,-0.0,-0.0
ASM,0.4300000071525574,-0.0,-0.0,-0.0
ASML,190.6199951171875,-0.0,-0.0,-0.0
ASNA,1.0099999904632568,-0.0,-0.0,-0.0
ASR,161.91000366210938,-0.0,-0.0,-0.0
ASRV,4.170000076293945,-0.0,-0.0,-0.0
ASTC,3.819999933242798,-0.0,-0.0,-0.0
ASTE,29.700000762939453,-0.0,-0.0,-0.0
ASUR,6.570000171661377,-0.0,-0.0,-0.0
ATAX,7.079999923706055,-0.0,-0.0,-0.0
ATEC,3.9000000953674316,-0.0,-0.0,-0.0
ATGE,43.2400016784668,-0.0,-0.0,-0.0
ATI,21.790000915527344,-0.0,-0.0,-0.0
ATNI,58.47999954223633,-0.0,-0.0,-0.0
ATO,103.36000061035156,-0.0,-0.0,-0.0
ATR,112.95999908447266,-0.0,-0.0,-0.0
ATRC,29.309999465942383,-0.0,-0.0,-0.0
ATRI,893.0,-0.0,-0.0,-0.0
ATRO,41.540000915527344,-0.0,-0.0,-0.0
ATRS,2.8399999141693115,-0.0,-0.0,-0.0
ATSG,21.90999984741211,-0.0,-0.0,-0.0
ATU,22.8799991607666,-0.0,-0.0,-0.0
ATVI,42.189998626708984,-0.0,-0.0,-0.0
AU,11.729999542236328,-0.0,-0.0,-0.0
AUDC,15.600000381469727,-0.0,-0.0,-0.0
AUO,2.880000114440918,-0.0,-0.0,-0.0
AUTO,3.440000057220459,-0.0,-0.0,-0.0
AUY,1.850000023841858,-0.0,-0.0,-0.0
AVA,42.36000061035156,-0.0,-0.0,-0.0
AVB,203.74000549316406,-0.0,-0.0,-0.0
AVD,13.149999618530273,-0.0,-0.0,-0.0
AVDL,1.5299999713897705,-0.0,-0.0,-0.0
AVID,7.929999828338623,-0.0,-0.0,-0.0
AVK,14.510000228881836,-0.0,-0.0,-0.0
AVNW,12.649999618530273,-0.0,-0.0,-0.0
AVP,3.5999999046325684,-0.0,-0.0,-0.0
AVT,42.31999969482422,-0.0,-0.0,-0.0
AVX,15.380000114440918,-0.0,-0.0,-0.0
AVY,99.69000244140625,-0.0,-0.0,-0.0
AWF,11.720000267028809,-0.0,-0.0,-0.0
AWI,87.12999725341797,-0.0,-0.0,-0.0
AWR,74.0999984741211,-0.0,-0.0,-0.0
AWRE,3.200000047683716,-0.0,-0.0,-0.0
AWX,2.2899999618530273,-0.0,-0.0,-0.0
AXAS,1.0399999618530273,-0.0,-0.0,-0.0
AXDX,19.0,-0.0,-0.0,-0.0
AXE,55.93000030517578,-0.0,-0.0,-0.0
AXGN,21.010000228881836,-0.0,-0.0,-0.0
AXL,10.619999885559082,-0.0,-0.0,-0.0
AXP,118.43000030517578,-0.0,-0.0,-0.0
AXR,5.369999885559082,-0.0,-0.0,-0.0
AXS,60.02000045776367,-0.0,-0.0,-0.0
AXTI,4.460000038146973,-0.0,-0.0,-0.0
AXU,1.0399999618530273,-0.0,-0.0,-0.0
AYI,136.2899932861328,-0.0,-0.0,-0.0
AYR,19.6299991607666,-0.0,-0.0,-0.0
AZN,38.65999984741211,-0.0,-0.0,-0.0
AZO,1034.8199462890625,-0.0,-0.0,-0.0
AZPN,113.7699966430664,-0.0,-0.0,-0.0
AZZ,43.279998779296875,-0.0,-0.0,-0.0
B,53.2400016784668,-0.0,-0.0,-0.0
BA,350.54998779296875,-0.0,-0.0,-0.0
BABY,26.3700008392334,-0.0,-0.0,-0.0
BAC,27.760000228881836,-0.0,-0.0,-0.0
BAF,14.470000267028809,-0.0,-0.0,-0.0
BAM,46.540000915527344,-0.0,-0.0,-0.0
BANC,13.270000457763672,-0.0,-0.0,-0.0
BANF,53.75,-0.0,-0.0,-0.0
BANR,52.04999923706055,-0.0,-0.0,-0.0
BAP,223.75999450683594,-0.0,-0.0,-0.0
BAS,1.7300000190734863,-0.0,-0.0,-0.0
BASI,2.0,32.0,64.0,0.0006400001269262566
BAX,75.02999877929688,-0.0,-0.0,-0.0
BB,8.039999961853027,-0.0,-0.0,-0.0
BBBY,13.850000381469727,-0.0,-0.0,-0.0
BBD,8.529999732971191,-0.0,-0.0,-0.0
BBF,13.930000305175781,-0.0,-0.0,-0.0
BBGI,3.5999999046325684,-0.0,-0.0,-0.0
BBK,14.510000228881836,-0.0,-0.0,-0.0
BBL,44.689998626708984,-0.0,-0.0,-0.0
BBSI,75.41000366210938,-0.0,-0.0,-0.0
BBT,48.11000061035156,-0.0,-0.0,-0.0
BBVA,5.579999923706055,-0.0,-0.0,-0.0
BBW,4.960000038146973,-0.0,-0.0,-0.0
BBX,4.679999828338623,-0.0,-0.0,-0.0
BBY,65.81999969482422,-0.0,-0.0,-0.0
BC,45.540000915527344,-0.0,-0.0,-0.0
BCBP,12.4399995803833,-0.0,-0.0,-0.0
BCE,45.15999984741211,-0.0,-0.0,-0.0
BCH,28.440000534057617,-0.0,-0.0,-0.0
BCLI,3.7300000190734863,-0.0,-0.0,-0.0
BCO,78.12000274658203,-0.0,-0.0,-0.0
BCOR,31.469999313354492,-0.0,-0.0,-0.0
BCPC,94.23999786376953,-0.0,-0.0,-0.0
BCRX,3.5399999618530273,-0.0,-0.0,-0.0
BCS,7.579999923706055,-0.0,-0.0,-0.0
BCV,21.06999969482422,-0.0,-0.0,-0.0
BDC,53.52000045776367,-0.0,-0.0,-0.0
BDGE,28.360000610351562,-0.0,-0.0,-0.0
BDJ,8.510000228881836,-0.0,-0.0,-0.0
BDN,14.960000038146973,-0.0,-0.0,-0.0
BDR,0.949999988079071,-0.0,-0.0,-0.0
BDSI,4.429999828338623,-0.0,-0.0,-0.0
BDX,234.0,-0.0,-0.0,-0.0
BECN,35.939998626708984,-0.0,-0.0,-0.0
BELFB,17.799999237060547,-0.0,-0.0,-0.0
BEN,33.15999984741211,-0.0,-0.0,-0.0
BEP,32.52000045776367,-0.0,-0.0,-0.0
BFIN,14.130000114440918,-0.0,-0.0,-0.0
BFK,14.039999961853027,-0.0,-0.0,-0.0
BFR,9.220000267028809,-0.0,-0.0,-0.0
BFS,54.88999938964844,-0.0,-0.0,-0.0
BFY,14.039999961853027,-0.0,-0.0,-0.0
BFZ,13.119999885559082,-0.0,-0.0,-0.0
BG,51.41999816894531,-0.0,-0.0,-0.0
BGCP,4.650000095367432,-0.0,-0.0,-0.0
BGFV,2.359999895095825,-0.0,-0.0,-0.0
BGG,9.829999923706055,-0.0,-0.0,-0.0
BGI,0.9700000286102295,-0.0,-0.0,-0.0
BGR,11.470000267028809,-0.0,-0.0,-0.0
BGT,12.4399995803833,-0.0,-0.0,-0.0
BH,100.44999694824219,-0.0,-0.0,-0.0
BHB,24.700000762939453,-0.0,-0.0,-0.0
BHE,23.450000762939453,-0.0,-0.0,-0.0
BHGE,23.059999465942383,-0.0,-0.0,-0.0
BHK,13.529999732971191,-0.0,-0.0,-0.0
BHLB,29.670000076293945,-0.0,-0.0,-0.0
BHP,51.279998779296875,-0.0,-0.0,-0.0
BHV,16.559999465942383,-0.0,-0.0,-0.0
BID,37.38999938964844,-0.0,-0.0,-0.0
BIDU,113.45999908447266,-0.0,-0.0,-0.0
BIF,10.789999961853027,-0.0,-0.0,-0.0
BIG,29.309999465942383,-0.0,-0.0,-0.0
BIIB,229.11000061035156,-0.0,-0.0,-0.0
BIO,293.9599914550781,-0.0,-0.0,-0.0
BIOL,1.9800000190734863,-0.0,-0.0,-0.0
BIOS,2.0299999713897705,-0.0,-0.0,-0.0
BJRI,45.58000183105469,-0.0,-0.0,-0.0
BK,45.2400016784668,-0.0,-0.0,-0.0
BKD,6.599999904632568,-0.0,-0.0,-0.0
BKE,16.579999923706055,-0.0,-0.0,-0.0
BKH,77.80999755859375,-0.0,-0.0,-0.0
BKK,15.069999694824219,-0.0,-0.0,-0.0
BKN,14.6899995803833,-0.0,-0.0,-0.0
BKNG,1716.9300537109375,-0.0,-0.0,-0.0
BKS,4.710000038146973,-0.0,-0.0,-0.0
BKSC,18.280000686645508,102.0,1864.5600700378418,0.018645604398216383
BKT,5.949999809265137,616.0,3665.199882507324,0.03665200609398107
BKYI,1.100000023841858,359.0,394.900008559227,0.0039490008687669545
BLDP,3.950000047683716,-0.0,-0.0,-0.0
BLDR,14.979999542236328,-0.0,-0.0,-0.0
BLE,14.279999732971191,-0.0,-0.0,-0.0
BLFS,17.6299991607666,-0.0,-0.0,-0.0
BLK,433.8900146484375,-0.0,-0.0,-0.0
BLKB,76.9000015258789,-0.0,-0.0,-0.0
BLL,61.04999923706055,-0.0,-0.0,-0.0
BLW,14.75,-0.0,-0.0,-0.0
BLX,20.049999237060547,-0.0,-0.0,-0.0
BMA,48.349998474121094,-0.0,-0.0,-0.0
BME,37.0,-0.0,-0.0,-0.0
BMI,52.11000061035156,-0.0,-0.0,-0.0
BMO,75.56999969482422,-0.0,-0.0,-0.0
BMRA,2.440000057220459,121.0,295.24000692367554,0.0029524006547634566
BMRC,41.25,-0.0,-0.0,-0.0
BMRN,86.97000122070312,-0.0,-0.0,-0.0
BMS,57.25,-0.0,-0.0,-0.0
BMTC,37.060001373291016,-0.0,-0.0,-0.0
BMY,47.29999923706055,-0.0,-0.0,-0.0
BNS,52.290000915527344,-0.0,-0.0,-0.0
BNSO,2.819999933242798,1.0,2.819999933242798,2.8200004925116024e-05
BNY,13.59000015258789,-0.0,-0.0,-0.0
BOCH,10.350000381469727,-0.0,-0.0,-0.0
BOE,10.399999618530273,-0.0,-0.0,-0.0
BOH,78.41999816894531,-0.0,-0.0,-0.0
BOKF,77.48999786376953,-0.0,-0.0,-0.0
BOOM,66.18000030517578,-0.0,-0.0,-0.0
BOSC,2.9100000858306885,23.0,66.93000197410583,0.0006693001524781615
BP,41.34000015258789,-0.0,-0.0,-0.0
BPFH,10.720000267028809,-0.0,-0.0,-0.0
BPL,40.869998931884766,-0.0,-0.0,-0.0
BPOP,53.15999984741211,-0.0,-0.0,-0.0
BPT,18.079999923706055,-0.0,-0.0,-0.0
BQH,14.699999809265137,-0.0,-0.0,-0.0
BRC,47.79999923706055,-0.0,-0.0,-0.0
BREW,15.199999809265137,-0.0,-0.0,-0.0
BRFS,7.639999866485596,-0.0,-0.0,-0.0
BRID,28.18000030517578,-0.0,-0.0,-0.0
BRKL,14.680000305175781,-0.0,-0.0,-0.0
BRKR,42.09000015258789,-0.0,-0.0,-0.0
BRKS,34.560001373291016,-0.0,-0.0,-0.0
BRO,31.809999465942383,-0.0,-0.0,-0.0
BRT,13.1899995803833,-0.0,-0.0,-0.0
BSAC,27.979999542236328,-0.0,-0.0,-0.0
BSD,13.319999694824219,-0.0,-0.0,-0.0
BSE,13.270000457763672,-0.0,-0.0,-0.0
BSET,15.670000076293945,-0.0,-0.0,-0.0
BSQR,1.4600000381469727,128.0,186.8800048828125,0.0018688004194528038
BSRR,25.360000610351562,-0.0,-0.0,-0.0
BSTC,60.83000183105469,-0.0,-0.0,-0.0
BSX,37.790000915527344,-0.0,-0.0,-0.0
BT,12.819999694824219,-0.0,-0.0,-0.0
BTA,11.859999656677246,-0.0,-0.0,-0.0
BTE,1.7000000476837158,-0.0,-0.0,-0.0
BTI,37.4900016784668,-0.0,-0.0,-0.0
BTN,2.9800000190734863,-0.0,-0.0,-0.0
BTO,31.649999618530273,-0.0,-0.0,-0.0
BTX,1.059999942779541,-0.0,-0.0,-0.0
BTZ,12.630000114440918,-0.0,-0.0,-0.0
BURG,1.1699999570846558,-0.0,-0.0,-0.0
BUSE,25.06999969482422,-0.0,-0.0,-0.0
BVN,14.289999961853027,-0.0,-0.0,-0.0
BVSN,1.2999999523162842,-0.0,-0.0,-0.0
BWA,35.470001220703125,-0.0,-0.0,-0.0
BWEN,1.809999942779541,-0.0,-0.0,-0.0
BXC,22.059999465942383,-0.0,-0.0,-0.0
BXMT,35.900001525878906,-0.0,-0.0,-0.0
BXMX,13.0,-0.0,-0.0,-0.0
BXP,131.5800018310547,-0.0,-0.0,-0.0
BXS,28.15999984741211,-0.0,-0.0,-0.0
BYD,25.510000228881836,-0.0,-0.0,-0.0
BYFC,1.399999976158142,-0.0,-0.0,-0.0
BYM,13.40999984741211,-0.0,-0.0,-0.0
BZH,9.40999984741211,-0.0,-0.0,-0.0
BZM,14.720000267028809,-0.0,-0.0,-0.0
C,63.900001525878906,-0.0,-0.0,-0.0
CAAS,2.4200000762939453,-0.0,-0.0,-0.0
CAC,43.31999969482422,-0.0,-0.0,-0.0
CACC,463.3599853515625,-0.0,-0.0,-0.0
CACI,204.97000122070312,-0.0,-0.0,-0.0
CAE,25.110000610351562,-0.0,-0.0,-0.0
CAF,20.649999618530273,-0.0,-0.0,-0.0
CAG,28.889999389648438,-0.0,-0.0,-0.0
CAH,45.90999984741211,-0.0,-0.0,-0.0
CAJ,28.739999771118164,-0.0,-0.0,-0.0
CAKE,45.81999969482422,-0.0,-0.0,-0.0
CAL,21.489999771118164,-0.0,-0.0,-0.0
CALM,39.20000076293945,5.0,196.00000381469727,0.001960000426858641
CAMP,12.600000381469727,-0.0,-0.0,-0.0
CAMT,8.229999542236328,-0.0,-0.0,-0.0
CAR,29.90999984741211,-0.0,-0.0,-0.0
CARV,3.0899999141693115,-0.0,-0.0,-0.0
CASH,26.809999465942383,-0.0,-0.0,-0.0
CASI,3.1600000858306885,-0.0,-0.0,-0.0
CASS,44.970001220703125,-0.0,-0.0,-0.0
CASY,132.99000549316406,-0.0,-0.0,-0.0
CAT,122.26000213623047,-0.0,-0.0,-0.0
CATC,84.98999786376953,35.0,2974.6499252319336,0.029746505151712767
CATO,13.819999694824219,-0.0,-0.0,-0.0
CATS,19.799999237060547,-0.0,-0.0,-0.0
CATY,34.90999984741211,-0.0,-0.0,-0.0
CB,147.07000732421875,-0.0,-0.0,-0.0
CBAN,16.520000457763672,-0.0,-0.0,-0.0
CBB,7.199999809265137,-0.0,-0.0,-0.0
CBD,20.700000762939453,-0.0,-0.0,-0.0
CBFV,23.5,90.0,2115.0,0.021150004194516136
CBIO,7.900000095367432,-0.0,-0.0,-0.0
CBL,1.0399999618530273,-0.0,-0.0,-0.0
CBM,40.83000183105469,-0.0,-0.0,-0.0
CBRE,47.349998474121094,-0.0,-0.0,-0.0
CBRL,163.94000244140625,-0.0,-0.0,-0.0
CBS,47.90999984741211,-0.0,-0.0,-0.0
CBSH,58.79999923706055,-0.0,-0.0,-0.0
CBT,41.150001525878906,-0.0,-0.0,-0.0
CBU,63.0,-0.0,-0.0,-0.0
CBZ,19.81999969482422,-0.0,-0.0,-0.0
CCA,11.5600004196167,-0.0,-0.0,-0.0
CCBG,23.200000762939453,-0.0,-0.0,-0.0
CCF,100.52999877929688,-0.0,-0.0,-0.0
CCI,127.69000244140625,-0.0,-0.0,-0.0
CCJ,10.210000038146973,-0.0,-0.0,-0.0
CCK,59.720001220703125,-0.0,-0.0,-0.0
CCL,51.619998931884766,-0.0,-0.0,-0.0
CCMP,100.0199966430664,-0.0,-0.0,-0.0
CCNE,26.670000076293945,-0.0,-0.0,-0.0
CCO,5.179999828338623,-0.0,-0.0,-0.0
CCOI,57.15999984741211,-0.0,-0.0,-0.0
CCRN,7.420000076293945,-0.0,-0.0,-0.0
CCU,26.440000534057617,-0.0,-0.0,-0.0
CDE,2.869999885559082,-0.0,-0.0,-0.0
CDMO,3.6600000858306885,-0.0,-0.0,-0.0
CDNS,63.720001220703125,-0.0,-0.0,-0.0
CDOR,9.739999771118164,-0.0,-0.0,-0.0
CDR,2.9200000762939453,-0.0,-0.0,-0.0
CDZI,10.40999984741211,-0.0,-0.0,-0.0
CE,98.62000274658203,-0.0,-0.0,-0.0
CEA,27.299999237060547,-0.0,-0.0,-0.0
CECE,9.279999732971191,-0.0,-0.0,-0.0
CECO,18.299999237060547,-0.0,-0.0,-0.0
CEE,24.899999618530273,-0.0,-0.0,-0.0
CELG,95.62999725341797,-0.0,-0.0,-0.0
CENT,28.959999084472656,-0.0,-0.0,-0.0
CENX,6.010000228881836,-0.0,-0.0,-0.0
CEO,163.89999389648438,-0.0,-0.0,-0.0
CEQP,35.41999816894531,-0.0,-0.0,-0.0
CERN,69.94000244140625,-0.0,-0.0,-0.0
CERS,5.110000133514404,-0.0,-0.0,-0.0
CET,28.969999313354492,-0.0,-0.0,-0.0
CETV,3.6500000953674316,-0.0,-0.0,-0.0
CEV,12.229999542236328,-0.0,-0.0,-0.0
CEVA,22.1200008392334,-0.0,-0.0,-0.0
CF,40.5,-0.0,-0.0,-0.0
CFFI,47.15999984741211,-0.0,-0.0,-0.0
CFFN,13.350000381469727,-0.0,-0.0,-0.0
CFR,95.30000305175781,-0.0,-0.0,-0.0
CGEN,3.259999990463257,-0.0,-0.0,-0.0
CGNX,42.439998626708984,-0.0,-0.0,-0.0
CGO,12.550000190734863,-0.0,-0.0,-0.0
CHA,48.779998779296875,-0.0,-0.0,-0.0
CHCI,2.690000057220459,-0.0,-0.0,-0.0
CHCO,74.58999633789062,-0.0,-0.0,-0.0
CHD,75.18000030517578,-0.0,-0.0,-0.0
CHDN,95.26000213623047,-0.0,-0.0,-0.0
CHE,331.6600036621094,-0.0,-0.0,-0.0
CHFC,39.650001525878906,-0.0,-0.0,-0.0
CHH,83.20999908447266,-0.0,-0.0,-0.0
CHI,10.15999984741211,-0.0,-0.0,-0.0
CHK,2.059999942779541,-0.0,-0.0,-0.0
CHKE,0.8899999856948853,-0.0,-0.0,-0.0
CHKP,113.4000015258789,-0.0,-0.0,-0.0
CHL,45.09000015258789,-0.0,-0.0,-0.0
CHMG,46.790000915527344,18.0,842.2200164794922,0.008422201835104826
CHN,18.6200008392334,-0.0,-0.0,-0.0
CHNR,1.7000000476837158,-0.0,-0.0,-0.0
CHRW,80.73999786376953,-0.0,-0.0,-0.0
CHS,3.549999952316284,-0.0,-0.0,-0.0
